date,classification,status,source_url,source_hash,http_status,blocked_reason
2026-01-12,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-01-13,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-01-14,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-01-15,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-01-16,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-01-19,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-01-20,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-01-21,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-01-22,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-01-23,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-01-26,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-01-27,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-01-28,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-01-29,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-01-30,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-02-02,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-02-03,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-02-04,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-02-05,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-02-06,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-02-09,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-02-10,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-02-11,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-02-23,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-02-24,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-02-25,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-02-26,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
2026-03-02,repairable_official_range_download,accepted_patch,https://www.taifex.com.tw/cht/3/futContractsDateDown,20f060445380c785eb46fe5fa95cfb80341541ebc98236a113c23144ec51255e,200,
