publication_date,ticker,market,classification,status,filtered_rows,http_status,response_bytes,source_url,source_hash,retrieval_time_utc,blocked_reason
2025-08-01,2311,TWSE,official_query_success_no_ticker_result,blocked_official_zero_rows,0,200,70412,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,665652c376236e267ac46d3710d5f8e4e0dffe1443eb7c1807b543e4181a5fee,2026-07-11T09:54:41+00:00,official ticker-week query returned no distribution table rows
2025-08-01,2325,TWSE,official_query_success_no_ticker_result,blocked_official_zero_rows,0,200,70412,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,e6ae8849806ccd81093123db28553bd61efde72f4f0876b37e6a90f7a00b044e,2026-07-11T09:54:41+00:00,official ticker-week query returned no distribution table rows
2025-08-01,2448,TWSE,official_query_success_no_ticker_result,blocked_official_zero_rows,0,200,70412,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,79fb10c2658178d222afce39da483390b28a1408cf0af7d2eb10ec0c9bb932a8,2026-07-11T09:54:41+00:00,official ticker-week query returned no distribution table rows
2025-08-01,2456,TWSE,official_query_success_no_ticker_result,blocked_official_zero_rows,0,200,70412,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,1adebdf0fbfab912aad47cd660c6eaeb805dc9f8c821d5966bd192129bae1cde,2026-07-11T09:54:42+00:00,official ticker-week query returned no distribution table rows
2025-08-01,2823,TWSE,official_query_success_no_ticker_result,blocked_official_zero_rows,0,200,70412,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,430b80f52efd612da9ecdb24c0157804a2ef44d35f446ac148981a3de4ff1a95,2026-07-11T09:54:42+00:00,official ticker-week query returned no distribution table rows
2025-08-01,2888,TWSE,official_query_success_no_ticker_result,blocked_official_zero_rows,0,200,70412,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,ee77b0d4ac3b1bc6b491f2efa0e4e919e04ce6fe2ce932f8caa1582fcfb64825,2026-07-11T09:54:43+00:00,official ticker-week query returned no distribution table rows
2025-08-01,3698,TWSE,official_query_success_no_ticker_result,blocked_official_zero_rows,0,200,70412,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,b608cf5dd6206a82bbaac612bb97a89575b4ceabfa1c5f314e64c356de749b64,2026-07-11T09:54:43+00:00,official ticker-week query returned no distribution table rows
2025-08-01,5264,TWSE,official_query_success_no_ticker_result,blocked_official_zero_rows,0,200,70412,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,8548f355053765fa1a51900b058ea16084810305496e3149c15e60ff51c4a100,2026-07-11T09:54:44+00:00,official ticker-week query returned no distribution table rows
2025-08-15,6190,TPEx,repairable_fresh_session,accepted_patch,15,200,76773,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,c2b9540082f7cd1347cc6f2fc63553b6cdbbdebd3bcac3d09db22541d38f5f44,2026-07-11T09:54:44+00:00,
2026-04-17,5443,TPEx,repairable_fresh_session,accepted_patch,15,200,76767,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,f81dc165b49f7f7e4fcedfd2223f25e750d6e14172d372b87ab388b51b50d127,2026-07-11T09:54:45+00:00,
2026-04-17,6139,TWSE,repairable_fresh_session,accepted_patch,16,200,77423,https://www.tdcc.com.tw/portal/zh/smWeb/qryStock,a53d51e391c353449440955ce7e4ba7d3439890501e21b9b86da04f79f0258b8,2026-07-11T09:54:45+00:00,
