ticker,name,market,required_start,required_end,row_count,hlc_ready_rows,actual_start,actual_end,current_date_ready,minimum_60td_hlc_ready,status,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2330,台積電,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2327,國巨*,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2454,聯發科,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
3481,群創,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2408,南亞科,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
3037,欣興,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2344,華邦電,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
6182,合晶,TPEx,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2308,台達電,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
8046,南電,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
3711,日月光投控,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
4958,臻鼎-KY,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2383,台光電,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
3026,禾伸堂,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
6213,聯茂,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
6488,環球晶,TPEx,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2409,友達,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2449,京元電子,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
1303,南亞,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2303,聯電,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
6274,台燿,TPEx,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
3042,晶技,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2317,鴻海,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
6770,力積電,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
3017,奇鋐,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
8299,群聯,TPEx,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
3443,創意,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
3661,世芯-KY,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2337,旺宏,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
6669,緯穎,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
6239,力成,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
3105,穩懋,TPEx,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2345,智邦,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
3008,大立光,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
5483,中美晶,TPEx,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2484,希華,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
6147,頎邦,TPEx,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2313,華通,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2368,金像電,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
8150,南茂,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2382,廣達,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
6446,藥華藥,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
8261,富鼎,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2360,致茂,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
3665,貿聯-KY,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
1326,台化,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
3374,精材,TPEx,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
3231,緯創,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2059,川湖,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
6271,同欣電,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
5371,中光電,TPEx,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
6223,旺矽,TPEx,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
8358,金居,TPEx,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
1301,台塑,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
3211,順達,TPEx,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
5289,宜鼎,TPEx,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2379,瑞昱,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
6173,信昌電,TPEx,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
5274,信驊,TPEx,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
3081,聯亞,TPEx,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
5347,世界,TPEx,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
2492,華新科,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
1717,長興,TWSE,2025-06-01,2026-07-09,270,270,2025-06-02,2026-07-09,True,True,ready_research_grade,False,False,False,False,False,False,False,True,False
