ticker,market,event_type,effective_date,amount_or_ratio,source_quality,source_url,source_hash,retrieval_time_utc,human_review_required
1101,TWSE,cash_dividend,2022-07-21,0.999283,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1101.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,6f4bbb36015cee6376596c64b9ea6226eae9049defec25c00517d4bbfe494622,2026-07-11T08:54:45+00:00,True
1101,TWSE,split,2022-07-21,1099.9282/1000.0,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1101.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,6f4bbb36015cee6376596c64b9ea6226eae9049defec25c00517d4bbfe494622,2026-07-11T08:54:45+00:00,True
1101,TWSE,cash_dividend,2023-07-11,0.49972,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1101.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,6f4bbb36015cee6376596c64b9ea6226eae9049defec25c00517d4bbfe494622,2026-07-11T08:54:45+00:00,True
1101,TWSE,cash_dividend,2024-07-01,1.0,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1101.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,6f4bbb36015cee6376596c64b9ea6226eae9049defec25c00517d4bbfe494622,2026-07-11T08:54:45+00:00,True
1101,TWSE,cash_dividend,2025-07-02,1.0,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1101.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,6f4bbb36015cee6376596c64b9ea6226eae9049defec25c00517d4bbfe494622,2026-07-11T08:54:45+00:00,True
1101,TWSE,cash_dividend,2026-07-01,0.8,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1101.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,6f4bbb36015cee6376596c64b9ea6226eae9049defec25c00517d4bbfe494622,2026-07-11T08:54:45+00:00,True
1301,TWSE,cash_dividend,2023-06-27,4.2,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1301.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,dc9b626d8a5d43efb80b3a65f0f839734cb5d0e7f0ddde849bb8459940066661,2026-07-11T08:54:45+00:00,True
1301,TWSE,cash_dividend,2024-07-23,1.0,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1301.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,dc9b626d8a5d43efb80b3a65f0f839734cb5d0e7f0ddde849bb8459940066661,2026-07-11T08:54:45+00:00,True
1301,TWSE,cash_dividend,2025-07-15,0.5,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1301.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,dc9b626d8a5d43efb80b3a65f0f839734cb5d0e7f0ddde849bb8459940066661,2026-07-11T08:54:45+00:00,True
1301,TWSE,cash_dividend,2026-06-30,0.5,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1301.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,dc9b626d8a5d43efb80b3a65f0f839734cb5d0e7f0ddde849bb8459940066661,2026-07-11T08:54:45+00:00,True
1303,TWSE,cash_dividend,2023-06-29,3.0,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1303.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,3b9d46c451475051a2c7385a40637954e27c23c0187bca53811745ce15351b5c,2026-07-11T08:54:45+00:00,True
1303,TWSE,cash_dividend,2024-07-17,0.7,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1303.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,3b9d46c451475051a2c7385a40637954e27c23c0187bca53811745ce15351b5c,2026-07-11T08:54:45+00:00,True
1303,TWSE,cash_dividend,2025-07-22,0.7,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1303.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,3b9d46c451475051a2c7385a40637954e27c23c0187bca53811745ce15351b5c,2026-07-11T08:54:45+00:00,True
1303,TWSE,cash_dividend,2026-07-08,0.8,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1303.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,3b9d46c451475051a2c7385a40637954e27c23c0187bca53811745ce15351b5c,2026-07-11T08:54:45+00:00,True
1513,TWSE,cash_dividend,2022-07-25,2.8,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1513.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,61f666be26aaa7f1433e1d46680d035b2c9d86c429567c8f96ff76cdb63768d5,2026-07-11T08:54:47+00:00,True
1513,TWSE,cash_dividend,2023-07-14,3.31366,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1513.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,61f666be26aaa7f1433e1d46680d035b2c9d86c429567c8f96ff76cdb63768d5,2026-07-11T08:54:47+00:00,True
1513,TWSE,cash_dividend,2024-07-01,3.6,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1513.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,61f666be26aaa7f1433e1d46680d035b2c9d86c429567c8f96ff76cdb63768d5,2026-07-11T08:54:47+00:00,True
1513,TWSE,cash_dividend,2025-08-28,4.6,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1513.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,61f666be26aaa7f1433e1d46680d035b2c9d86c429567c8f96ff76cdb63768d5,2026-07-11T08:54:47+00:00,True
1513,TWSE,cash_dividend,2026-07-09,6.0,trusted_nonofficial_yahoo_event_candidate,https://query1.finance.yahoo.com/v8/finance/chart/1513.TW?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,61f666be26aaa7f1433e1d46680d035b2c9d86c429567c8f96ff76cdb63768d5,2026-07-11T08:54:47+00:00,True
