ticker,monthly_revenue_rows,monthly_latest_available_date,quarterly_income_rows,quarterly_latest_report_period,balance_cashflow_indicator_rows,balance_cashflow_fields,exact_pit_asof_2026_07_09_ready,current_snapshot_backfill_used,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2493,137,2026-06-10,45,2026Q1,52,current_ratio_percent|debt_ratio_percent|investing_cash_flow|operating_cash_flow,True,False,0,False,False,False,False,False,False,False,True,False
3149,137,2026-06-10,45,2026Q1,52,current_ratio_percent|debt_ratio_percent|investing_cash_flow|operating_cash_flow,True,False,0,False,False,False,False,False,False,False,True,False
4989,115,2026-06-10,37,2026Q1,52,current_ratio_percent|debt_ratio_percent|investing_cash_flow|operating_cash_flow,True,False,0,False,False,False,False,False,False,False,True,False
5475,136,2026-06-10,45,2026Q1,52,current_ratio_percent|debt_ratio_percent|investing_cash_flow|operating_cash_flow,True,False,0,False,False,False,False,False,False,False,True,False
6907,29,2026-06-10,6,2026Q1,22,current_ratio_percent|debt_ratio_percent|investing_cash_flow|operating_cash_flow,True,False,0,False,False,False,False,False,False,False,True,False
6919,46,2026-06-10,14,2026Q1,44,current_ratio_percent|debt_ratio_percent|investing_cash_flow|operating_cash_flow,True,False,0,False,False,False,False,False,False,False,True,False
7799,19,2026-06-10,8,2026Q1,30,current_ratio_percent|debt_ratio_percent|investing_cash_flow|operating_cash_flow,True,False,0,False,False,False,False,False,False,False,True,False
7828,15,2026-06-10,5,2026Q1,18,current_ratio_percent|debt_ratio_percent|investing_cash_flow|operating_cash_flow,True,False,0,False,False,False,False,False,False,False,True,False
