family,status,source_path,source_hash,row_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
existing_adjusted_compact,reused,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_recent_full_feature_data_readiness_acquisition_20260711\compact\adjusted,per annual gzip manifest,75599,False,False,False,False,False,False,False,True,False
new_ticker_mops_indicator,accepted,,06d3561b84dcd542ba1566f4a1d30de5c44d9a2a3e5697b44bfd5d655593053d,,False,False,False,False,False,False,False,True,False
new_ticker_mops_indicator,accepted,,903adaad2fe31ae3aea981402641f9bf69f88ed962799a0b7a1cd09b0cc2dcd7,,False,False,False,False,False,False,False,True,False
new_ticker_mops_indicator,accepted,,b98f794dc3de9b15fed3761b3de662ce498aa74786543c49c6026a41b8607690,,False,False,False,False,False,False,False,True,False
new_ticker_mops_indicator,accepted,,cd1c77f34ea52b57684bd397d906fb953cc89a9fc0529073b2133a7fe2bd3d97,,False,False,False,False,False,False,False,True,False
official_corporate_action_inventory,reused,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_recent_full_feature_data_readiness_acquisition_20260711\compact\corporate_action_guard\events.csv.gz,b103344447797fefe459780d921099b951ed3cb33b2f4ffd400a248f261dbc5e,307,False,False,False,False,False,False,False,True,False
official_mops_monthly_revenue,reused,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_monthly_revenue_full_universe_pit_20260703\accepted_monthly_revenue_rows_shards,per shard source manifest,634,False,False,False,False,False,False,False,True,False
official_mops_quarterly_fundamentals,reused,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_quarterly_fundamentals_full_sweep_20260703\shards,per shard source manifest,205,False,False,False,False,False,False,False,True,False
trusted_adjusted_analysis,accepted,,2e53440db19cd50b235fcb8560123f0e1ec95f21e81a2144361d519834b63714,,False,False,False,False,False,False,False,True,False
trusted_adjusted_analysis,accepted,,33347b8b06679914ddedb2ddb8b5381ec8b8ed47a0b7fe09b046e41a4a5816b6,,False,False,False,False,False,False,False,True,False
trusted_adjusted_analysis,accepted,,ff7db30bb26838f06b948c123861559a769443d96a7d3f32cf5b54423b2d3bed,,False,False,False,False,False,False,False,True,False
trusted_adjusted_analysis,accepted,,02b8c04e969a99d667a2af1a55fc70092419e69622b5fa43d1a53e1fbbe5760f,,False,False,False,False,False,False,False,True,False
trusted_adjusted_analysis,accepted,,e60fae2cb0ca8dcf5d4476a70005d903d695ba830a87096aa4cdae9edf547c86,,False,False,False,False,False,False,False,True,False
trusted_adjusted_analysis,accepted,,88fa8d2c402a7f8d0b695a65e9cb2b752aed196f566e68e015b2993fcf4d317e,,False,False,False,False,False,False,False,True,False
