snapshot_date,ticker,name,market,selection_bucket,traded_value_rank_5d,historical_layer1_3_context_exists,corporate_action_adjusted_analysis_review_required,adjusted_analysis_price_current_ready,blocked_reason,requested_source,mass_history_download_allowed
2026-07-09,2330,台積電,TWSE,core,1.0,True,False,False,adjusted_analysis_price_current_not_in_source_package,trusted_nonofficial_adjusted_analysis_OHLC_current_window_and_exact_PIT_fundamental_asof_for_new_tickers_only,False
2026-07-09,2327,國巨*,TWSE,core,2.0,True,False,False,adjusted_analysis_price_current_not_in_source_package,trusted_nonofficial_adjusted_analysis_OHLC_current_window_and_exact_PIT_fundamental_asof_for_new_tickers_only,False
2026-07-09,2454,聯發科,TWSE,core,3.0,True,True,False,adjusted_analysis_price_current_not_in_source_package|corporate_action_factor_review_required,trusted_nonofficial_adjusted_analysis_OHLC_current_window_and_exact_PIT_fundamental_asof_for_new_tickers_only,False
2026-07-09,3481,群創,TWSE,core,4.0,True,False,False,adjusted_analysis_price_current_not_in_source_package,trusted_nonofficial_adjusted_analysis_OHLC_current_window_and_exact_PIT_fundamental_asof_for_new_tickers_only,False
2026-07-09,2408,南亞科,TWSE,core,5.0,True,True,False,adjusted_analysis_price_current_not_in_source_package|corporate_action_factor_review_required,trusted_nonofficial_adjusted_analysis_OHLC_current_window_and_exact_PIT_fundamental_asof_for_new_tickers_only,False
2026-07-09,3037,欣興,TWSE,core,6.0,True,True,False,adjusted_analysis_price_current_not_in_source_package|corporate_action_factor_review_required,trusted_nonofficial_adjusted_analysis_OHLC_current_window_and_exact_PIT_fundamental_asof_for_new_tickers_only,False
2026-07-09,2344,華邦電,TWSE,core,7.0,True,False,False,adjusted_analysis_price_current_not_in_source_package,trusted_nonofficial_adjusted_analysis_OHLC_current_window_and_exact_PIT_fundamental_asof_for_new_tickers_only,False
2026-07-09,6182,合晶,TPEx,core,8.0,True,False,False,adjusted_analysis_price_current_not_in_source_package,trusted_nonofficial_adjusted_analysis_OHLC_current_window_and_exact_PIT_fundamental_asof_for_new_tickers_only,False
2026-07-09,2308,台達電,TWSE,core,9.0,True,False,False,adjusted_analysis_price_current_not_in_source_package,trusted_nonofficial_adjusted_analysis_OHLC_current_window_and_exact_PIT_fundamental_asof_for_new_tickers_only,False
2026-07-09,8046,南電,TWSE,core,10.0,True,False,False,adjusted_analysis_price_current_not_in_source_package,trusted_nonofficial_adjusted_analysis_OHLC_current_window_and_exact_PIT_fundamental_asof_for_new_tickers_only,False
2026-07-09,3711,日月光投控,TWSE,core,11.0,True,True,False,adjusted_analysis_price_current_not_in_source_package|corporate_action_factor_review_required,trusted_nonofficial_adjusted_analysis_OHLC_current_window_and_exact_PIT_fundamental_asof_for_new_tickers_only,False
2026-07-09,4958,臻鼎-KY,TWSE,core,12.0,True,False,False,adjusted_analysis_price_current_not_in_source_package,trusted_nonofficial_adjusted_analysis_OHLC_current_window_and_exact_PIT_fundamental_asof_for_new_tickers_only,False
2026-07-09,2383,台光電,TWSE,core,13.0,True,False,False,adjusted_analysis_price_current_not_in_source_package,trusted_nonofficial_adjusted_analysis_OHLC_current_window_and_exact_PIT_fundamental_asof_for_new_tickers_only,False
