ticker,name,market,official_event_inventory_rows,event_types,exact_effective_date_rows,trusted_adjustment_factor_distinct_values,current_adjusted_analysis_ready,review_status,accepted_for_formal,human_review_required,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2454,聯發科,TWSE,7,cash_dividend,7,139,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
2408,南亞科,TWSE,2,cash_dividend,2,185,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
3037,欣興,TWSE,5,cash_dividend,5,166,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
3711,日月光投控,TWSE,4,cash_dividend,4,166,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
6213,聯茂,TWSE,4,cash_dividend,4,143,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
1303,南亞,TWSE,4,cash_dividend,4,189,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
2303,聯電,TWSE,4,cash_dividend,4,173,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
2317,鴻海,TWSE,4,cash_dividend,4,139,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
8299,群聯,TPEx,8,cash_dividend,8,190,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
6446,藥華藥,TWSE,4,cash_dividend|split,4,166,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
8261,富鼎,TWSE,4,cash_dividend,4,154,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
3231,緯創,TWSE,4,cash_dividend,4,92,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
6223,旺矽,TPEx,5,cash_dividend,5,188,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
1301,台塑,TWSE,4,cash_dividend,4,165,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
3211,順達,TPEx,4,cash_dividend,4,172,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
6173,信昌電,TPEx,5,cash_dividend,5,186,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
5274,信驊,TPEx,5,cash_dividend|split,5,204,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
5347,世界,TPEx,4,cash_dividend,4,159,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
2492,華新科,TWSE,5,cash_dividend,5,163,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
2412,中華電,TWSE,4,cash_dividend,4,47,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
3167,大量,TWSE,6,cash_dividend|split,6,179,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
2882,國泰金,TWSE,4,cash_dividend,4,135,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
3006,晶豪科,TWSE,4,cash_dividend,4,179,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
6257,矽格,TWSE,5,cash_dividend,5,167,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
4931,新盛力,TPEx,4,cash_dividend,4,139,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
3189,景碩,TWSE,5,cash_dividend,5,34,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
2881,富邦金,TWSE,9,cash_dividend|split,9,163,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
2357,華碩,TWSE,5,cash_dividend,5,153,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
6285,啟碁,TWSE,5,cash_dividend,5,114,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
2618,長榮航,TWSE,5,cash_dividend,5,130,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
3045,台灣大,TWSE,4,cash_dividend,4,46,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
3264,欣銓,TPEx,3,cash_dividend,3,173,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
2634,漢翔,TWSE,5,cash_dividend,5,157,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
6781,AES-KY,TWSE,5,cash_dividend,5,106,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
2883,凱基金,TWSE,4,cash_dividend|split,4,139,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
4904,遠傳,TWSE,5,cash_dividend,5,141,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
8112,至上,TWSE,5,cash_dividend,5,166,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
2493,揚博,TWSE,6,cash_dividend|split,6,161,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
3044,健鼎,TWSE,5,cash_dividend,5,174,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
6278,台表科,TWSE,5,cash_dividend,5,107,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
8039,台虹,TWSE,6,cash_dividend|split,6,164,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
2884,玉山金,TWSE,11,cash_dividend|split,11,113,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
2474,可成,TWSE,8,cash_dividend,8,124,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
2478,大毅,TWSE,4,cash_dividend,4,178,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
6197,佳必琪,TWSE,5,cash_dividend,5,128,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
3715,定穎投控,TWSE,4,cash_dividend,4,163,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
5536,聖暉*,TPEx,8,cash_dividend,8,207,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
3293,鈊象,TPEx,8,cash_dividend|split,8,137,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
3090,日電貿,TWSE,4,cash_dividend,4,173,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
6191,精成科,TWSE,5,cash_dividend,5,125,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
2049,上銀,TWSE,5,cash_dividend,5,148,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
6510,精測,TPEx,4,cash_dividend,4,167,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
2615,萬海,TWSE,6,cash_dividend|split,6,137,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
1513,中興電,TWSE,5,cash_dividend,5,92,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
3221,台嘉碩,TPEx,5,cash_dividend,5,147,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
8926,台汽電,TWSE,6,cash_dividend|split,6,169,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
1727,中華化,TWSE,4,cash_dividend,4,182,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
6683,雍智科技,TPEx,5,cash_dividend,5,169,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
8081,致新,TWSE,4,cash_dividend,4,124,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
4576,大銀微系統,TWSE,5,cash_dividend,5,115,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
1101,台泥,TWSE,6,cash_dividend|split,6,108,True,source_evidence_ready_core_factor_policy_review_required,False,True,False,False,False,False,False,False,False,True,False
