market,ticker_count,period_count,sample_rows,t164sb05_success_rows,t164sb03_success_rows,t05st01_matched_rows,universal_ready,assessment,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
TWSE,2,2,4,4,4,4,False,"bounded sample route coverage only, not full universe readiness",False,False,False,False,False,False,True,False
TPEx,2,2,4,4,4,4,False,"bounded sample route coverage only, not full universe readiness",False,False,False,False,False,False,True,False
