batch_key,metric,request_ticker_count,route_status,http_status,response_bytes,response_hash,attempt_count,source_url,retrieved_at,error,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
OperatingCashflow_b015,OperatingCashflow,20,accepted,200,47479,d58f7c444702756c0cbaa0148675edf35d4c9eb71ed1bfd42b50ccf70c1e36d8,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b012,OperatingCashflow,20,accepted,200,48737,e1585486802cfecbeeee676cb7c0ec6c0bb77e01c51ec00574ba1e69d57f0880,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b014,OperatingCashflow,20,accepted,200,47339,11c822f73ce675cbbaa458ac38ecb8dcdd4db20a7689960b4ad999ff128a78e8,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b010,OperatingCashflow,20,accepted,200,52649,3a6b068516c2af7d34ff07ce015ee7adf84f2411965e9ef9de87d050145a4ba8,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b016,OperatingCashflow,20,accepted,200,47457,93f569a48810685db69f4baa2c6c03598841e60ea5c465538a551dafab4962d8,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b011,OperatingCashflow,20,accepted,200,49148,6cfde13460711d16c2c8929f19f61345a3416d0bc1c9a1e520d3dc2eb8472ac7,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b018,OperatingCashflow,20,accepted,200,42522,e7a8bbea19cc0497ee4a5fe3cb2c772a922b527fec034204f62e0b8ca25f3f1f,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b013,OperatingCashflow,20,accepted,200,45614,f2670071138f39188078ce3d797bb3cde244138ebd35548bcfe2da013696536c,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b017,OperatingCashflow,20,accepted,200,47192,0de620a72bcdb910333ed38c8c65f91b66b544245b379fed7c34a083e04caaa3,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b021,OperatingCashflow,20,accepted,200,44656,b572b82685ed59da1f4dd7d3b086563d73efc2dd31766ae6e57a2ed9bc341906,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b023,OperatingCashflow,20,accepted,200,49323,ab5fb730b75179fd4a2d63c0c26b0fab2908037dd8f75f50ff3700e2a3a04e18,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b020,OperatingCashflow,20,accepted,200,46557,01421f60a8a75b72e5bb65a9599ab4d06d19d0e3fe091cf8e9f91f1b96416e6b,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b019,OperatingCashflow,20,accepted,200,36834,326e14d1082bdbbcab51bb944651ae3b25c00456d86015e56d051911771b66ab,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b022,OperatingCashflow,20,accepted,200,48636,8cc3e7f974edc62bbce6d7577ba85bbf23fa3f90b4c954ee0dbd7dab1d81a026,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b024,OperatingCashflow,20,accepted,200,48586,4e30cfe521983ad1814d87cee566a7b60afb0d42c697076077dde63d394039bc,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b026,OperatingCashflow,20,accepted,200,47746,fdd6927c625d996b3bec0a7b9bc05bb228c11c039063e95629aa91ae32cf0c4a,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b025,OperatingCashflow,20,accepted,200,48641,2ee41565fd761988f5e38d5c8b2dc7695e04aace87695289857560db628f8446,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b028,OperatingCashflow,20,accepted,200,36511,80fb95654c3b7cfeaf9fee77f04ba602852faaffedcf61d0a7d07e5fc72061d3,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b029,OperatingCashflow,20,accepted,200,27000,0bde4a17eaab502c61cda9f1ba7a5ab10ea4eee6f9625d823bf6db812f8677fd,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b027,OperatingCashflow,20,accepted,200,40434,7bd31f869348309c623204124a6598ab86c31bcd5c53e070d40014abc44e15f4,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b032,OperatingCashflow,20,accepted,200,47683,8b96b40f52374baf681c11e7318d22639e1af7e16776c30622e9f1feb84a4393,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b030,OperatingCashflow,20,accepted,200,20995,b6bb2092695cd8fff7386d0c8689d34855540c21eed657cca3306aca062715a5,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b031,OperatingCashflow,20,accepted,200,32183,d8315077882559eb0baca6ffe562b0801641672fce3dc5064b779a67c93afad9,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b033,OperatingCashflow,20,accepted,200,46729,eefaee7b56abae2e35d6867903dd74aa32731b2c167f3e50406af7c97e17f075,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b000,InvestingCashflow,20,accepted,200,50485,7530582cd910a2ee9dc068d3e413eba367d128f0ca43968e020b73fd9ec376e0,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
