ticker,metric,status,blocked_reason,attempt_batch_key,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
9105,OperatingCashflow,official_indicator_company_not_returned,MOPS comparison API returned no series for requested ticker,OperatingCashflow_b034,False,False,False,False,False,False,False,True,False
9105,InvestingCashflow,official_indicator_company_not_returned,MOPS comparison API returned no series for requested ticker,InvestingCashflow_b034,False,False,False,False,False,False,False,True,False
9105,DebtRatio,official_indicator_company_not_returned,MOPS comparison API returned no series for requested ticker,DebtRatio_b034,False,False,False,False,False,False,False,True,False
9105,CurrentRatio,official_indicator_company_not_returned,MOPS comparison API returned no series for requested ticker,CurrentRatio_b034,False,False,False,False,False,False,False,True,False
2207,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2207,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2207,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2207,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2207,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2207,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2311,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2311,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2311,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2311,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2311,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2311,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2311,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2311,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2311,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2311,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2311,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2311,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2311,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2311,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2311,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2325,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2325,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2325,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2325,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2325,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2325,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2325,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2325,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2325,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2325,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2325,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2325,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2325,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2325,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2325,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2448,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2448,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2448,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2448,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2448,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2448,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2448,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
2448,,official_field_missing,MOPS official trend API has no finite value; no zero fill,,False,False,False,False,False,False,False,True,False
