ticker,code,company_name,market,candidate_scope,priority
1560.TW,1560,中砂,TWSE,pool1b_materials,research_priority_blocked_v0
2308.TW,2308,台達電,TWSE,old_ai_power,research_priority_blocked_v0
2356.TW,2356,英業達,TWSE,old_ai_server,research_priority_blocked_v0
2382.TW,2382,廣達,TWSE,old_ai_server,research_priority_blocked_v0
2395.TW,2395,研華,TWSE,old_ai_edge_aiot,research_priority_blocked_v0
2449.TW,2449,京元電子,TWSE,pool1b_semiconductor,research_priority_blocked_v0
3017.TW,3017,奇鋐,TWSE,old_ai_cooling,research_priority_blocked_v0
3044.TW,3044,健鼎,TWSE,pool1b_pcb,research_priority_blocked_v0
3189.TW,3189,景碩,TWSE,pool1b_substrate,research_priority_blocked_v0
3324.TW,3324,雙鴻,TWSE,pool1b_cooling,research_priority_blocked_v0
3443.TW,3443,創意,TWSE,pool1b_ic_design,research_priority_blocked_v0
3533.TW,3533,嘉澤,TWSE,pool1b_high_speed,research_priority_blocked_v0
3665.TW,3665,貿聯-KY,TWSE,pool1b_high_speed,research_priority_blocked_v0
6213.TW,6213,聯茂,TWSE,pool1b_ccl,research_priority_blocked_v0
6285.TW,6285,啟碁,TWSE,pool1b_networking,research_priority_blocked_v0
6412.TW,6412,群電,TWSE,pool1b_power,research_priority_blocked_v0
6442.TW,6442,光聖,TWSE,pool1b_optical,research_priority_blocked_v0
6488.TWO,6488,環球晶,TPEx,pool1b_semiconductor_materials,research_priority_blocked_v0
6669.TW,6669,緯穎,TWSE,old_ai_server,research_priority_blocked_v0
8046.TW,8046,南電,TWSE,pool1b_substrate,research_priority_blocked_v0
8210.TW,8210,勤誠,TWSE,pool1b_server_chassis,research_priority_blocked_v0
8299.TWO,8299,群聯,TPEx,pool1b_storage,research_priority_blocked_v0
