ticker,document_filename,document_date,source_url,raw_pdf_path,snippet_path,text_char_count,keyword_match,extraction_status
1560.TW,2024_1560_20250619F04.pdf,2025-06-19,https://doc.twse.com.tw/pdf/2024_1560_20250619F04_20260704_113548.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\1560_TW_2024_1560_20250619F04.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\extracted_snippets\1560_TW_2024_1560_20250619F04.pdf.txt,98746,AI伺服器,text_extracted_keyword_found
2308.TW,2024_2308_20250529F04.pdf,2025-05-29,https://doc.twse.com.tw/pdf/2024_2308_20250529F04_20260704_113614.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\2308_TW_2024_2308_20250529F04.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\extracted_snippets\2308_TW_2024_2308_20250529F04.pdf.txt,156761,AI伺服器,text_extracted_keyword_found
2356.TW,2024_2356_20250528F04.pdf,2025-05-28,https://doc.twse.com.tw/pdf/2024_2356_20250528F04_20260704_113634.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\2356_TW_2024_2356_20250528F04.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\extracted_snippets\2356_TW_2024_2356_20250528F04.pdf.txt,147978,AI伺服器,text_extracted_keyword_found
2382.TW,2024_2382_20250613F04.pdf,2025-06-13,https://doc.twse.com.tw/pdf/2024_2382_20250613F04_20260704_113704.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\2382_TW_2024_2382_20250613F04.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\extracted_snippets\2382_TW_2024_2382_20250613F04.pdf.txt,117176,AI伺服器,text_extracted_keyword_found
2395.TW,2024_2395_20250529F04.pdf,2025-05-29,https://doc.twse.com.tw/pdf/2024_2395_20250529F04_20260704_113713.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\2395_TW_2024_2395_20250529F04.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\extracted_snippets\2395_TW_2024_2395_20250529F04.pdf.txt,146159,AI伺服器,text_extracted_keyword_found
2449.TW,2024_2449_20250527F04.pdf,2025-05-27,https://doc.twse.com.tw/pdf/2024_2449_20250527F04_20260704_113733.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\2449_TW_2024_2449_20250527F04.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\extracted_snippets\2449_TW_2024_2449_20250527F04.pdf.txt,135245,伺服器,text_extracted_keyword_found
3017.TW,2024_3017_20250606F04.pdf,2025-06-06,https://doc.twse.com.tw/pdf/2024_3017_20250606F04_20260704_113748.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\3017_TW_2024_3017_20250606F04.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\extracted_snippets\3017_TW_2024_3017_20250606F04.pdf.txt,624215,AI,text_extracted_keyword_found
3044.TW,2024_3044_20250529F04.pdf,2025-05-29,https://doc.twse.com.tw/pdf/2024_3044_20250529F04_20260704_113802.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\3044_TW_2024_3044_20250529F04.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\extracted_snippets\3044_TW_2024_3044_20250529F04.pdf.txt,147317,AI伺服器,text_extracted_keyword_found
3189.TW,2024_3189_20250528F04.pdf,2025-05-28,https://doc.twse.com.tw/pdf/2024_3189_20250528F04_20260704_113810.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\3189_TW_2024_3189_20250528F04.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\extracted_snippets\3189_TW_2024_3189_20250528F04.pdf.txt,73483,伺服器,text_extracted_keyword_found
3324.TW,2024_3324_20250516F04.pdf,2025-05-16,https://doc.twse.com.tw/pdf/2024_3324_20250516F04_20260704_113831.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\3324_TW_2024_3324_20250516F04.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\extracted_snippets\3324_TW_2024_3324_20250516F04.pdf.txt,92933,AI伺服器,text_extracted_keyword_found
3443.TW,2024_3443_20250515F04.pdf,2025-05-15,https://doc.twse.com.tw/pdf/2024_3443_20250515F04_20260704_113851.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\3443_TW_2024_3443_20250515F04.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\extracted_snippets\3443_TW_2024_3443_20250515F04.pdf.txt,98876,伺服器,text_extracted_keyword_found
3533.TW,2024_3533_20250613F04.pdf,2025-06-13,https://doc.twse.com.tw/pdf/2024_3533_20250613F04_20260704_113858.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\3533_TW_2024_3533_20250613F04.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\extracted_snippets\3533_TW_2024_3533_20250613F04.pdf.txt,76343,AI伺服器,text_extracted_keyword_found
3665.TW,2024_3665_20250529F04.pdf,2025-05-29,https://doc.twse.com.tw/pdf/2024_3665_20250529F04_20260704_113909.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\3665_TW_2024_3665_20250529F04.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\extracted_snippets\3665_TW_2024_3665_20250529F04.pdf.txt,140549,伺服器,text_extracted_keyword_found
6213.TW,2024_6213_20250526F04.pdf,2025-05-26,https://doc.twse.com.tw/pdf/2024_6213_20250526F04_20260704_113925.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\6213_TW_2024_6213_20250526F04.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\extracted_snippets\6213_TW_2024_6213_20250526F04.pdf.txt,284149,伺服器,text_extracted_keyword_found
6285.TW,2024_6285_20250516F04.pdf,2025-05-16,https://doc.twse.com.tw/pdf/2024_6285_20250516F04_20260704_113934.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\6285_TW_2024_6285_20250516F04.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\extracted_snippets\6285_TW_2024_6285_20250516F04.pdf.txt,103033,伺服器,text_extracted_keyword_found
6412.TW,2024_6412_20250526F04.pdf,2025-05-26,https://doc.twse.com.tw/pdf/2024_6412_20250526F04_20260704_113946.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\raw_sources\pdf\6412_TW_2024_6412_20250526F04.pdf,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_mops_document_extraction_v1_20260704\extracted_snippets\6412_TW_2024_6412_20250526F04.pdf.txt,93287,AI伺服器,text_extracted_keyword_found
