"file","market","year","rows","months","source_type","formal_exact"
"shards\twse_sector_membership_2015.csv","TWSE","2015","10089","12","official_twse_mi_index_monthly_anchor_industry_membership_candidate","false"
"shards\twse_sector_membership_2016.csv","TWSE","2016","10255","12","official_twse_mi_index_monthly_anchor_industry_membership_candidate","false"
"shards\twse_sector_membership_2017.csv","TWSE","2017","10454","12","official_twse_mi_index_monthly_anchor_industry_membership_candidate","false"
"shards\twse_sector_membership_2018.csv","TWSE","2018","10636","12","official_twse_mi_index_monthly_anchor_industry_membership_candidate","false"
"shards\twse_sector_membership_2019.csv","TWSE","2019","10747","12","official_twse_mi_index_monthly_anchor_industry_membership_candidate","false"
"shards\twse_sector_membership_2020.csv","TWSE","2020","10903","12","official_twse_mi_index_monthly_anchor_industry_membership_candidate","false"
"shards\twse_sector_membership_2021.csv","TWSE","2021","10972","12","official_twse_mi_index_monthly_anchor_industry_membership_candidate","false"
"shards\twse_sector_membership_2022.csv","TWSE","2022","11093","12","official_twse_mi_index_monthly_anchor_industry_membership_candidate","false"
"shards\twse_sector_membership_2023.csv","TWSE","2023","11197","12","official_twse_mi_index_monthly_anchor_industry_membership_candidate","false"
"shards\twse_sector_membership_2024.csv","TWSE","2024","11511","12","official_twse_mi_index_monthly_anchor_industry_membership_candidate","false"
"shards\twse_sector_membership_2025.csv","TWSE","2025","11693","12","official_twse_mi_index_monthly_anchor_industry_membership_candidate","false"
"shards\twse_sector_membership_2026.csv","TWSE","2026","6844","7","official_twse_mi_index_monthly_anchor_industry_membership_candidate","false"
