ticker,code,name,market,requested_start,first_date,last_date,latest_complete_date_observed,row_count,adjusted_close_available,ohlcv_source,source_type,coverage_ready,blocked_reason
1560.TW,1560,中砂,TWSE,2024-01-01,2024-01-02,2026-07-02,2026-07-02,602,false,TWSE_MI_INDEX_ALLBUT0999,official_daily_trading_pit_from_liquidity_full_sweep,true,
2449.TW,2449,京元電子,TWSE,2024-01-01,2024-01-02,2026-07-02,2026-07-02,601,false,TWSE_MI_INDEX_ALLBUT0999,official_daily_trading_pit_from_liquidity_full_sweep,true,
3035.TW,3035,智原,TWSE,2024-01-01,2024-01-02,2026-07-02,2026-07-02,602,false,TWSE_MI_INDEX_ALLBUT0999,official_daily_trading_pit_from_liquidity_full_sweep,true,
3037.TW,3037,欣興,TWSE,2024-01-01,2024-01-02,2026-07-02,2026-07-02,602,false,TWSE_MI_INDEX_ALLBUT0999,official_daily_trading_pit_from_liquidity_full_sweep,true,
3044.TW,3044,健鼎,TWSE,2024-01-01,2024-01-02,2026-07-02,2026-07-02,602,false,TWSE_MI_INDEX_ALLBUT0999,official_daily_trading_pit_from_liquidity_full_sweep,true,
3189.TW,3189,景碩,TWSE,2024-01-01,2024-01-02,2026-07-02,2026-07-02,602,false,TWSE_MI_INDEX_ALLBUT0999,official_daily_trading_pit_from_liquidity_full_sweep,true,
3324.TW,3324,雙鴻,TWSE,2024-01-01,2024-01-02,2026-07-02,2026-07-02,603,false,TWSE_MI_INDEX_ALLBUT0999,official_daily_trading_pit_from_liquidity_full_sweep,true,
3443.TW,3443,創意,TWSE,2024-01-01,2024-01-02,2026-07-02,2026-07-02,602,false,TWSE_MI_INDEX_ALLBUT0999,official_daily_trading_pit_from_liquidity_full_sweep,true,
3533.TW,3533,嘉澤,TWSE,2024-01-01,2024-01-02,2026-07-02,2026-07-02,602,false,TWSE_MI_INDEX_ALLBUT0999,official_daily_trading_pit_from_liquidity_full_sweep,true,
3583.TW,3583,辛耘,TWSE,2024-01-01,2024-01-02,2026-07-02,2026-07-02,602,false,TWSE_MI_INDEX_ALLBUT0999,official_daily_trading_pit_from_liquidity_full_sweep,true,
3665.TW,3665,貿聯-KY,TWSE,2024-01-01,2024-01-02,2026-07-02,2026-07-02,601,false,TWSE_MI_INDEX_ALLBUT0999,official_daily_trading_pit_from_liquidity_full_sweep,true,
6213.TW,6213,聯茂,TWSE,2024-01-01,2024-01-02,2026-07-02,2026-07-02,602,false,TWSE_MI_INDEX_ALLBUT0999,official_daily_trading_pit_from_liquidity_full_sweep,true,
6285.TW,6285,啟碁,TWSE,2024-01-01,2024-01-02,2026-07-02,2026-07-02,602,false,TWSE_MI_INDEX_ALLBUT0999,official_daily_trading_pit_from_liquidity_full_sweep,true,
6412.TW,6412,群電,TWSE,2024-01-01,2024-01-02,2026-07-02,2026-07-02,602,false,TWSE_MI_INDEX_ALLBUT0999,official_daily_trading_pit_from_liquidity_full_sweep,true,
6442.TW,6442,光聖,TWSE,2024-01-01,2024-01-02,2026-07-02,2026-07-02,602,false,TWSE_MI_INDEX_ALLBUT0999,official_daily_trading_pit_from_liquidity_full_sweep,true,
6488.TWO,6488,環球晶,TPEx,2024-01-01,2024-01-02,2026-07-02,2026-07-02,603,false,TPEx_dailyQuotes,official_daily_trading_pit_from_liquidity_full_sweep,true,
8046.TW,8046,南電,TWSE,2024-01-01,2024-01-02,2026-07-02,2026-07-02,602,false,TWSE_MI_INDEX_ALLBUT0999,official_daily_trading_pit_from_liquidity_full_sweep,true,
8210.TW,8210,勤誠,TWSE,2024-01-01,2024-01-02,2026-07-02,2026-07-02,602,false,TWSE_MI_INDEX_ALLBUT0999,official_daily_trading_pit_from_liquidity_full_sweep,true,
8299.TWO,8299,群聯,TPEx,2024-01-01,2024-01-02,2026-07-02,2026-07-02,603,false,TPEx_dailyQuotes,official_daily_trading_pit_from_liquidity_full_sweep,true,
