ticker,cache_compatible_path,legacy_repaired_cache_path,row_count,first_date,last_date,adjusted_close_available
1560.TW,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\cache_compatible\1560_TW.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\repaired_cache\1560_TW.csv,602,2024-01-02,2026-07-02,false
2449.TW,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\cache_compatible\2449_TW.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\repaired_cache\2449_TW.csv,601,2024-01-02,2026-07-02,false
3035.TW,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\cache_compatible\3035_TW.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\repaired_cache\3035_TW.csv,602,2024-01-02,2026-07-02,false
3037.TW,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\cache_compatible\3037_TW.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\repaired_cache\3037_TW.csv,602,2024-01-02,2026-07-02,false
3044.TW,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\cache_compatible\3044_TW.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\repaired_cache\3044_TW.csv,602,2024-01-02,2026-07-02,false
3189.TW,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\cache_compatible\3189_TW.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\repaired_cache\3189_TW.csv,602,2024-01-02,2026-07-02,false
3324.TW,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\cache_compatible\3324_TW.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\repaired_cache\3324_TW.csv,603,2024-01-02,2026-07-02,false
3443.TW,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\cache_compatible\3443_TW.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\repaired_cache\3443_TW.csv,602,2024-01-02,2026-07-02,false
3533.TW,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\cache_compatible\3533_TW.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\repaired_cache\3533_TW.csv,602,2024-01-02,2026-07-02,false
3583.TW,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\cache_compatible\3583_TW.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\repaired_cache\3583_TW.csv,602,2024-01-02,2026-07-02,false
3665.TW,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\cache_compatible\3665_TW.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\repaired_cache\3665_TW.csv,601,2024-01-02,2026-07-02,false
6213.TW,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\cache_compatible\6213_TW.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\repaired_cache\6213_TW.csv,602,2024-01-02,2026-07-02,false
6285.TW,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\cache_compatible\6285_TW.csv,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_pool1b_price_cache_repair_20260704\repaired_cache\6285_TW.csv,602,2024-01-02,2026-07-02,false
