timestamp_utc,status,detail
2026-07-04T03:05:36+00:00,started,pool1b price cache repair from prior official full-market daily shards
2026-07-04T03:06:22+00:00,completed_all_requested_tickers_ready,accepted_rows=11439 completed_tickers=19 failed_tickers=0 latest=2026-07-02
