source_path,source_type,git_tracked,row_count_scanned,matched_row_count,notes
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2015_01.csv,official_daily_trading_pit_prior_sweep_shard,false,30422,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2015_02.csv,official_daily_trading_pit_prior_sweep_shard,false,18942,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2015_03.csv,official_daily_trading_pit_prior_sweep_shard,false,33626,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2015_04.csv,official_daily_trading_pit_prior_sweep_shard,false,30738,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2015_05.csv,official_daily_trading_pit_prior_sweep_shard,false,30752,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2015_06.csv,official_daily_trading_pit_prior_sweep_shard,false,32308,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2015_07.csv,official_daily_trading_pit_prior_sweep_shard,false,33832,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2015_08.csv,official_daily_trading_pit_prior_sweep_shard,false,32237,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2015_09.csv,official_daily_trading_pit_prior_sweep_shard,false,30661,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2015_10.csv,official_daily_trading_pit_prior_sweep_shard,false,32276,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2015_11.csv,official_daily_trading_pit_prior_sweep_shard,false,32387,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2015_12.csv,official_daily_trading_pit_prior_sweep_shard,false,35601,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2016_01.csv,official_daily_trading_pit_prior_sweep_shard,false,31119,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2016_02.csv,official_daily_trading_pit_prior_sweep_shard,false,20313,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2016_03.csv,official_daily_trading_pit_prior_sweep_shard,false,36214,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2016_04.csv,official_daily_trading_pit_prior_sweep_shard,false,29859,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2016_05.csv,official_daily_trading_pit_prior_sweep_shard,false,32934,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2016_06.csv,official_daily_trading_pit_prior_sweep_shard,false,31512,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2016_07.csv,official_daily_trading_pit_prior_sweep_shard,false,31571,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2016_08.csv,official_daily_trading_pit_prior_sweep_shard,false,36302,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2016_09.csv,official_daily_trading_pit_prior_sweep_shard,false,27494,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2016_10.csv,official_daily_trading_pit_prior_sweep_shard,false,31572,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_all_listed_liquid_universe_full_sweep_20260703\shards\accepted_liquidity_rows_2016_11.csv,official_daily_trading_pit_prior_sweep_shard,false,34874,0,Derived from TWSE MI_INDEX ALLBUT0999 and TPEx dailyQuotes full-market sweep.
