signal_date,rank,ticker,name,chain,selection_score,bottom_score,launch_score,return_60d,monthly_revenue_yoy,stock_rs20,sector_rs20
2026-08-13,1,3017,奇鋐,AI機櫃電力與散熱,96.15853658536587,90.0,90.0,0.282565130260521,0.6064003400775295,0.42928037535845953,0.1829224496548667
2026-08-13,2,5351,鈺創,記憶體,91.95121951219514,90.0,90.0,0.7154256304850966,6.054820263517354,0.3114466666204747,0.16192095276881502
2026-08-13,3,3653,健策,AI機櫃電力與散熱,88.96341463414635,80.0,90.0,0.4005340261878651,0.37748425995281853,0.36479782016415574,0.1829224496548667
2026-08-14,1,3017,奇鋐,AI機櫃電力與散熱,94.9390243902439,90.0,90.0,0.2711198428290766,0.6064003400775295,0.40158325129893746,0.163639596039454
2026-08-14,2,5351,鈺創,記憶體,89.7560975609756,90.0,75.0,0.652173940930838,6.054820263517354,0.44249236771862455,0.15744449531807625
2026-08-14,3,3653,健策,AI機櫃電力與散熱,85.67073170731707,80.0,75.0,0.3347389000523126,0.37748425995281853,0.45298049953458697,0.163639596039454
2026-08-17,1,3017,奇鋐,AI機櫃電力與散熱,90.79268292682927,90.0,75.0,0.2233009708737863,0.6064003400775295,0.3957952148955821,0.18692826746592006
2026-08-17,2,5351,鈺創,記憶體,89.02439024390245,90.0,75.0,0.6504263679108551,6.054820263517354,0.5568587760885826,0.1595158136126169
2026-08-17,3,3006,晶豪科,記憶體,87.5609756097561,90.0,75.0,0.1977630473007645,2.968056658653291,0.3686612408989738,0.1595158136126169
2026-08-18,1,2301,光寶科,AI機櫃電力與散熱,86.15853658536587,80.0,75.0,0.1419624217118997,0.2955678896812044,0.2978414045010016,0.15875794721956304
2026-08-18,2,3017,奇鋐,AI機櫃電力與散熱,85.67073170731707,80.0,75.0,0.1137614678899081,0.6064003400775295,0.2847750210260722,0.15875794721956304
2026-08-18,3,3006,晶豪科,記憶體,80.48780487804879,80.0,75.0,0.076327472014567,2.968056658653291,0.21969313527721734,0.14107622747245752
2026-08-19,1,3653,健策,AI機櫃電力與散熱,88.96341463414635,80.0,75.0,0.4969757143466264,0.37748425995281853,0.5672219401554253,0.18375794237950083
