ticker,date,role,action,signal_date,status,raw_close,market,name,source_url,source_hash,retrieved_at_utc,source_quality,availability_policy,classification_reason,future_data_violation
3653,2026-08-07,execution_close,buy,2026-08-06,accepted_exact_official_raw_close,4380.0,TWSE,健策,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260807&type=ALLBUT0999&response=json,476bdf967fda69960811cd6a2d6fde186e1ed543459b199cde29bb74ccb8e73c,2026-08-28T04:26:16+00:00,official_raw_market_bulk_local_reuse,official_market_close_on_required_execution_or_mark_date,exact_ticker_date_found_in_persisted_official_market_cache,False
3653,2026-08-07,holding_mark,,,accepted_exact_official_raw_close,4380.0,TWSE,健策,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260807&type=ALLBUT0999&response=json,476bdf967fda69960811cd6a2d6fde186e1ed543459b199cde29bb74ccb8e73c,2026-08-28T04:26:16+00:00,official_raw_market_bulk_local_reuse,official_market_close_on_required_execution_or_mark_date,exact_ticker_date_found_in_persisted_official_market_cache,False
5351,2026-08-10,execution_close,buy,2026-08-07,accepted_exact_official_raw_close,114.0,TPEx,鈺創,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/08/10&response=json,47bc41390ee71604f71a15b07e4ea7694a290a4821bdda48bfeea4fd50620c92,2026-08-28T04:26:19+00:00,official_raw_market_bulk_local_reuse,official_market_close_on_required_execution_or_mark_date,exact_ticker_date_found_in_persisted_official_market_cache,False
3653,2026-08-10,holding_mark,,,accepted_exact_official_raw_close,4135.0,TWSE,健策,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260810&type=ALLBUT0999&response=json,8450f5188c4954856c139f197bf6039be30cd35dd07d34c3384e16425cb216f2,2026-08-28T04:26:19+00:00,official_raw_market_bulk_local_reuse,official_market_close_on_required_execution_or_mark_date,exact_ticker_date_found_in_persisted_official_market_cache,False
5351,2026-08-10,holding_mark,,,accepted_exact_official_raw_close,114.0,TPEx,鈺創,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/08/10&response=json,47bc41390ee71604f71a15b07e4ea7694a290a4821bdda48bfeea4fd50620c92,2026-08-28T04:26:19+00:00,official_raw_market_bulk_local_reuse,official_market_close_on_required_execution_or_mark_date,exact_ticker_date_found_in_persisted_official_market_cache,False
3006,2026-08-11,execution_close,buy,2026-08-10,accepted_exact_official_raw_close,267.5,TWSE,晶豪科,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260811&type=ALLBUT0999&response=json,a8abffc2b9c430bd70a3b51a6f70eb53bc0088eb23c355969b61e47289d6149d,2026-08-28T04:26:21+00:00,official_raw_market_bulk_local_reuse,official_market_close_on_required_execution_or_mark_date,exact_ticker_date_found_in_persisted_official_market_cache,False
3653,2026-08-11,holding_mark,,,accepted_exact_official_raw_close,4065.0,TWSE,健策,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260811&type=ALLBUT0999&response=json,a8abffc2b9c430bd70a3b51a6f70eb53bc0088eb23c355969b61e47289d6149d,2026-08-28T04:26:21+00:00,official_raw_market_bulk_local_reuse,official_market_close_on_required_execution_or_mark_date,exact_ticker_date_found_in_persisted_official_market_cache,False
5351,2026-08-11,holding_mark,,,accepted_exact_official_raw_close,119.5,TPEx,鈺創,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/08/11&response=json,b8b96aa0d7ca1a567e0d6768fe3bf39e3f7af8c99af54412097f4ca8c8938a13,2026-08-28T04:26:22+00:00,official_raw_market_bulk_local_reuse,official_market_close_on_required_execution_or_mark_date,exact_ticker_date_found_in_persisted_official_market_cache,False
3006,2026-08-11,holding_mark,,,accepted_exact_official_raw_close,267.5,TWSE,晶豪科,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260811&type=ALLBUT0999&response=json,a8abffc2b9c430bd70a3b51a6f70eb53bc0088eb23c355969b61e47289d6149d,2026-08-28T04:26:21+00:00,official_raw_market_bulk_local_reuse,official_market_close_on_required_execution_or_mark_date,exact_ticker_date_found_in_persisted_official_market_cache,False
3653,2026-08-12,holding_mark,,,accepted_exact_official_raw_close,4470.0,TWSE,健策,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260812&type=ALLBUT0999&response=json,b55475b4663863958c8a95be678d9cb85539977872eae39da5c4e4ae3f95fa0a,2026-08-28T04:26:24+00:00,official_raw_market_bulk_local_reuse,official_market_close_on_required_execution_or_mark_date,exact_ticker_date_found_in_persisted_official_market_cache,False
5351,2026-08-12,holding_mark,,,accepted_exact_official_raw_close,122.0,TPEx,鈺創,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/08/12&response=json,8dcf68c22c65e7eaadd6bec0dcd24faf4ec973ba95608758ab5343a7a408b4ae,2026-08-28T04:26:26+00:00,official_raw_market_bulk_local_reuse,official_market_close_on_required_execution_or_mark_date,exact_ticker_date_found_in_persisted_official_market_cache,False
3006,2026-08-12,holding_mark,,,accepted_exact_official_raw_close,274.0,TWSE,晶豪科,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260812&type=ALLBUT0999&response=json,b55475b4663863958c8a95be678d9cb85539977872eae39da5c4e4ae3f95fa0a,2026-08-28T04:26:24+00:00,official_raw_market_bulk_local_reuse,official_market_close_on_required_execution_or_mark_date,exact_ticker_date_found_in_persisted_official_market_cache,False
