ticker,date,role,action,signal_date,authority_status,partition
3653,2026-08-07,execution_close,buy,2026-08-06,known_frozen_engine_signal_intent_not_official_execution,accepted_exact_official_raw_close
3653,2026-08-07,holding_mark,,,known_frozen_engine_signal_intent_not_official_execution,accepted_exact_official_raw_close
5351,2026-08-10,execution_close,buy,2026-08-07,known_frozen_engine_signal_intent_not_official_execution,accepted_exact_official_raw_close
3653,2026-08-10,holding_mark,,,known_frozen_engine_signal_intent_not_official_execution,accepted_exact_official_raw_close
5351,2026-08-10,holding_mark,,,known_frozen_engine_signal_intent_not_official_execution,accepted_exact_official_raw_close
3006,2026-08-11,execution_close,buy,2026-08-10,known_frozen_engine_signal_intent_not_official_execution,accepted_exact_official_raw_close
3653,2026-08-11,holding_mark,,,known_frozen_engine_signal_intent_not_official_execution,accepted_exact_official_raw_close
5351,2026-08-11,holding_mark,,,known_frozen_engine_signal_intent_not_official_execution,accepted_exact_official_raw_close
3006,2026-08-11,holding_mark,,,known_frozen_engine_signal_intent_not_official_execution,accepted_exact_official_raw_close
3653,2026-08-12,holding_mark,,,known_frozen_engine_signal_intent_not_official_execution,accepted_exact_official_raw_close
5351,2026-08-12,holding_mark,,,known_frozen_engine_signal_intent_not_official_execution,accepted_exact_official_raw_close
3006,2026-08-12,holding_mark,,,known_frozen_engine_signal_intent_not_official_execution,accepted_exact_official_raw_close
