ticker,date,role,action,signal_date,source_url,source_hash,audit_result,future_data_violation
3653,2026-08-07,execution_close,buy,2026-08-06,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260807&type=ALLBUT0999&response=json,476bdf967fda69960811cd6a2d6fde186e1ed543459b199cde29bb74ccb8e73c,pass_exact_required_date_only,False
3653,2026-08-07,holding_mark,,,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260807&type=ALLBUT0999&response=json,476bdf967fda69960811cd6a2d6fde186e1ed543459b199cde29bb74ccb8e73c,pass_exact_required_date_only,False
5351,2026-08-10,execution_close,buy,2026-08-07,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/08/10&response=json,47bc41390ee71604f71a15b07e4ea7694a290a4821bdda48bfeea4fd50620c92,pass_exact_required_date_only,False
3653,2026-08-10,holding_mark,,,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260810&type=ALLBUT0999&response=json,8450f5188c4954856c139f197bf6039be30cd35dd07d34c3384e16425cb216f2,pass_exact_required_date_only,False
5351,2026-08-10,holding_mark,,,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/08/10&response=json,47bc41390ee71604f71a15b07e4ea7694a290a4821bdda48bfeea4fd50620c92,pass_exact_required_date_only,False
3006,2026-08-11,execution_close,buy,2026-08-10,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260811&type=ALLBUT0999&response=json,a8abffc2b9c430bd70a3b51a6f70eb53bc0088eb23c355969b61e47289d6149d,pass_exact_required_date_only,False
3653,2026-08-11,holding_mark,,,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260811&type=ALLBUT0999&response=json,a8abffc2b9c430bd70a3b51a6f70eb53bc0088eb23c355969b61e47289d6149d,pass_exact_required_date_only,False
5351,2026-08-11,holding_mark,,,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/08/11&response=json,b8b96aa0d7ca1a567e0d6768fe3bf39e3f7af8c99af54412097f4ca8c8938a13,pass_exact_required_date_only,False
3006,2026-08-11,holding_mark,,,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260811&type=ALLBUT0999&response=json,a8abffc2b9c430bd70a3b51a6f70eb53bc0088eb23c355969b61e47289d6149d,pass_exact_required_date_only,False
3653,2026-08-12,holding_mark,,,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260812&type=ALLBUT0999&response=json,b55475b4663863958c8a95be678d9cb85539977872eae39da5c4e4ae3f95fa0a,pass_exact_required_date_only,False
5351,2026-08-12,holding_mark,,,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/08/12&response=json,8dcf68c22c65e7eaadd6bec0dcd24faf4ec973ba95608758ab5343a7a408b4ae,pass_exact_required_date_only,False
3006,2026-08-12,holding_mark,,,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260812&type=ALLBUT0999&response=json,b55475b4663863958c8a95be678d9cb85539977872eae39da5c4e4ae3f95fa0a,pass_exact_required_date_only,False
