date,theme,symbol,name,theme_rank,theme_score,capital_share,capital_share_5d_avg,capital_share_5d_change,turnover_value,turnover_value_5d,strong_stock_ratio,theme_risk_heat,stock_score,bucket,fundamental_pass,fundamental_score,fundamental_data_status,fundamental_source_date,fundamental_reason,risk_heat,liquidity,foreign_5d,trust_5d,margin_change_5d,stock_turnover_rank_in_theme,stock_turnover_share_in_theme,stock_turnover_share_change_5d,theme_leader_flag,theme_second_line_flag,theme_laggard_rebound_flag,overheated_flag
2022-02-18,記憶體,2408,南亞科,1,100.0,34.4,24.8,12.0,26627.2,92873.7,90.0,70.1,46.3,watch,true,100.0,ok,2021-12-01,fundamental checks passed,56.4,88.3,12000,1800,9.5,6,6.6,-2.5,false,false,false,false
2022-02-18,記憶體,2344,華邦電,1,100.0,34.4,24.8,12.0,26627.2,92873.7,90.0,70.1,53.5,theme_leader,true,100.0,ok,2021-12-01,fundamental checks passed,63.4,100.0,8500,2400,5.2,2,21.6,0.2,true,false,false,false
2022-02-18,記憶體,2337,旺宏,1,100.0,34.4,24.8,12.0,26627.2,92873.7,90.0,70.1,50.9,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,56.6,100.0,0,0,0,5,8.3,-0.8,false,false,false,false
2022-02-18,記憶體,3006,晶豪科,1,100.0,34.4,24.8,12.0,26627.2,92873.7,90.0,70.1,49.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,81.6,100.0,0,0,0,1,24.2,15.3,true,false,false,true
2022-02-18,記憶體,3260,威剛,1,100.0,34.4,24.8,12.0,26627.2,92873.7,90.0,70.1,45.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,86.3,100.0,0,0,0,3,17.3,12.6,false,true,false,true
2022-02-18,記憶體,8299,群聯,1,100.0,34.4,24.8,12.0,26627.2,92873.7,90.0,70.1,50.0,watch,true,100.0,ok,2021-12-01,fundamental checks passed,66.4,100.0,2600,900,3.5,4,14.0,-7.5,false,false,false,false
2022-02-18,記憶體,8271,宇瞻,1,100.0,34.4,24.8,12.0,26627.2,92873.7,90.0,70.1,21.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,66.4,31.0,0,0,0,9,2.3,1.8,false,false,false,false
2022-02-18,記憶體,8088,品安,1,100.0,34.4,24.8,12.0,26627.2,92873.7,90.0,70.1,12.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,60.8,0.8,0,0,0,10,0.1,0.0,false,false,false,false
2022-02-18,記憶體,6531,愛普*,1,100.0,34.4,24.8,12.0,26627.2,92873.7,90.0,70.1,30.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,54.6,43.9,0,0,0,7,3.3,-10.6,false,false,false,false
2022-02-18,記憶體,6770,力積電,1,100.0,34.4,24.8,12.0,26627.2,92873.7,90.0,70.1,26.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,52.6,32.7,0,0,0,8,2.5,-8.5,false,false,false,false
2022-02-18,PCB/載板,3037,欣興,2,83.4,29.6,21.3,10.4,22899.7,78436.9,46.7,47.0,72.1,theme_leader,true,70.0,ok,2021-12-01,fundamental checks passed,48.0,100.0,6200,3100,6.0,1,61.6,20.1,true,false,false,false
2022-02-18,PCB/載板,8046,南電,2,83.4,29.6,21.3,10.4,22899.7,78436.9,46.7,47.0,55.5,watch,true,70.0,ok,2021-12-01,fundamental checks passed,43.6,100.0,3300,1800,8.0,3,10.4,-3.2,false,false,false,false
2022-02-18,PCB/載板,3189,景碩,2,83.4,29.6,21.3,10.4,22899.7,78436.9,46.7,47.0,56.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,41.8,100.0,0,0,0,2,11.5,-1.6,false,false,false,false
2022-02-18,PCB/載板,2368,金像電,2,83.4,29.6,21.3,10.4,22899.7,78436.9,46.7,47.0,32.1,watch,true,100.0,ok,2021-12-01,fundamental checks passed,38.2,35.7,2800,1200,13.8,5,3.1,-5.3,false,false,false,false
2022-02-18,PCB/載板,2383,台光電,2,83.4,29.6,21.3,10.4,22899.7,78436.9,46.7,47.0,26.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,35.3,18.9,0,0,0,6,1.7,-0.5,false,false,false,false
2022-02-18,PCB/載板,6274,台燿,2,83.4,29.6,21.3,10.4,22899.7,78436.9,46.7,47.0,19.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,37.9,2.9,0,0,0,12,0.3,-0.4,false,false,false,false
2022-02-18,PCB/載板,6213,聯茂,2,83.4,29.6,21.3,10.4,22899.7,78436.9,46.7,47.0,22.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,35.3,6.7,0,0,0,8,0.6,-1.2,false,false,false,false
2022-02-18,PCB/載板,8358,金居,2,83.4,29.6,21.3,10.4,22899.7,78436.9,46.7,47.0,20.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,35.3,3.5,0,0,0,10,0.3,-0.5,false,false,false,false
2022-02-18,PCB/載板,2313,華通,2,83.4,29.6,21.3,10.4,22899.7,78436.9,46.7,47.0,55.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,41.5,100.0,0,0,0,4,9.0,-5.4,false,false,false,false
2022-02-18,PCB/載板,3044,健鼎,2,83.4,29.6,21.3,10.4,22899.7,78436.9,46.7,47.0,21.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,35.3,5.1,0,0,0,9,0.4,-0.7,false,false,false,false
2022-02-18,PCB/載板,4958,臻鼎-KY,2,83.4,29.6,21.3,10.4,22899.7,78436.9,46.7,47.0,22.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,35.3,7.8,0,0,0,7,0.7,-1.0,false,false,false,false
2022-02-18,PCB/載板,2316,楠梓電,2,83.4,29.6,21.3,10.4,22899.7,78436.9,46.7,47.0,18.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,39.4,1.0,0,0,0,14,0.1,-0.1,false,false,false,false
2022-02-18,PCB/載板,2367,燿華,2,83.4,29.6,21.3,10.4,22899.7,78436.9,46.7,47.0,20.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,35.3,3.1,0,0,0,11,0.3,-0.3,false,false,false,false
2022-02-18,PCB/載板,1815,富喬,2,83.4,29.6,21.3,10.4,22899.7,78436.9,46.7,47.0,19.9,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,35.3,1.1,0,0,0,13,0.1,-0.1,false,false,false,false
2022-02-18,PCB/載板,5439,高技,2,83.4,29.6,21.3,10.4,22899.7,78436.9,46.7,47.0,19.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,35.3,0.6,0,0,0,15,0.1,-0.0,false,false,false,false
2022-02-18,ASIC/IP,3443,創意,3,69.4,22.0,32.5,-13.1,17034.9,114288.4,50.0,47.5,26.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,39.5,22.2,0,0,0,8,2.6,-0.6,false,false,false,false
2022-02-18,ASIC/IP,3661,世芯-KY,3,69.4,22.0,32.5,-13.1,17034.9,114288.4,50.0,47.5,55.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,35.6,92.8,0,0,0,3,10.9,-0.5,false,false,false,false
2022-02-18,ASIC/IP,3035,智原,3,69.4,22.0,32.5,-13.1,17034.9,114288.4,50.0,47.5,66.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,45.0,100.0,0,0,0,1,43.8,-1.0,true,false,false,false
2022-02-18,ASIC/IP,6531,愛普*,3,69.4,22.0,32.5,-13.1,17034.9,114288.4,50.0,47.5,35.9,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,37.6,43.9,0,0,0,6,5.2,-2.1,false,false,false,false
2022-02-18,ASIC/IP,3529,力旺,3,69.4,22.0,32.5,-13.1,17034.9,114288.4,50.0,47.5,43.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,53.7,76.1,0,0,0,4,8.9,1.8,false,true,false,false
2022-02-18,ASIC/IP,5274,信驊,3,69.4,22.0,32.5,-13.1,17034.9,114288.4,50.0,47.5,36.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,35.6,43.4,0,0,0,7,5.1,1.1,false,false,false,false
