date,theme,symbol,name,theme_rank,theme_score,capital_share,capital_share_5d_avg,capital_share_5d_change,turnover_value,turnover_value_5d,strong_stock_ratio,theme_risk_heat,stock_score,bucket,fundamental_pass,fundamental_score,fundamental_data_status,fundamental_source_date,fundamental_reason,risk_heat,liquidity,foreign_5d,trust_5d,margin_change_5d,stock_turnover_rank_in_theme,stock_turnover_share_in_theme,stock_turnover_share_change_5d,theme_leader_flag,theme_second_line_flag,theme_laggard_rebound_flag,overheated_flag
2022-09-02,ASIC/IP,3443,創意,1,100.0,45.4,36.7,10.8,29840.0,111273.1,37.5,46.2,53.9,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,50.8,100.0,0,0,0,4,11.9,0.8,false,true,false,false
2022-09-02,ASIC/IP,3661,世芯-KY,1,100.0,45.4,36.7,10.8,29840.0,111273.1,37.5,46.2,55.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,67.4,100.0,0,0,0,1,30.9,4.7,true,false,false,true
2022-09-02,ASIC/IP,3035,智原,1,100.0,45.4,36.7,10.8,29840.0,111273.1,37.5,46.2,57.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,50.1,100.0,0,0,0,2,20.1,-2.5,true,false,false,false
2022-09-02,ASIC/IP,6531,愛普*,1,100.0,45.4,36.7,10.8,29840.0,111273.1,37.5,46.2,42.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,34.6,60.0,0,0,0,7,4.0,-0.6,false,false,false,false
2022-09-02,ASIC/IP,3529,力旺,1,100.0,45.4,36.7,10.8,29840.0,111273.1,37.5,46.2,54.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,34.6,93.9,0,0,0,5,6.3,-3.5,false,false,false,false
2022-09-02,ASIC/IP,5274,信驊,1,100.0,45.4,36.7,10.8,29840.0,111273.1,37.5,46.2,46.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,34.6,71.4,0,0,0,6,4.8,-0.2,false,false,false,false
2022-09-02,ASIC/IP,2454,聯發科,1,100.0,45.4,36.7,10.8,29840.0,111273.1,37.5,46.2,61.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,34.6,100.0,0,0,0,3,19.7,2.9,false,true,false,false
2022-09-02,ASIC/IP,2379,瑞昱,1,100.0,45.4,36.7,10.8,29840.0,111273.1,37.5,46.2,32.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,34.6,33.9,0,0,0,8,2.3,-1.5,false,false,false,false
2022-09-02,PCB/載板,3037,欣興,2,75.7,24.6,22.0,3.3,16194.8,67552.6,53.3,48.0,66.0,theme_leader,true,70.0,ok,2021-12-01,fundamental checks passed,37.4,100.0,6200,3100,6.0,1,35.0,4.3,true,false,false,false
2022-09-02,PCB/載板,8046,南電,2,75.7,24.6,22.0,3.3,16194.8,67552.6,53.3,48.0,62.6,theme_leader,true,70.0,ok,2021-12-01,fundamental checks passed,36.0,100.0,3300,1800,8.0,2,23.9,3.2,true,false,false,false
2022-09-02,PCB/載板,3189,景碩,2,75.7,24.6,22.0,3.3,16194.8,67552.6,53.3,48.0,55.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,36.0,91.0,0,0,0,4,11.2,2.3,false,true,false,false
2022-09-02,PCB/載板,2368,金像電,2,75.7,24.6,22.0,3.3,16194.8,67552.6,53.3,48.0,25.4,watch,true,100.0,ok,2021-12-01,fundamental checks passed,36.0,15.7,2800,1200,13.8,8,1.9,-3.6,false,false,false,false
2022-09-02,PCB/載板,2383,台光電,2,75.7,24.6,22.0,3.3,16194.8,67552.6,53.3,48.0,29.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,67.7,49.6,0,0,0,5,6.1,4.5,false,true,false,true
2022-09-02,PCB/載板,6274,台燿,2,75.7,24.6,22.0,3.3,16194.8,67552.6,53.3,48.0,19.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,41.6,4.5,0,0,0,10,0.6,0.2,false,false,false,false
2022-09-02,PCB/載板,6213,聯茂,2,75.7,24.6,22.0,3.3,16194.8,67552.6,53.3,48.0,20.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,38.3,5.1,0,0,0,9,0.6,-0.4,false,false,false,false
2022-09-02,PCB/載板,8358,金居,2,75.7,24.6,22.0,3.3,16194.8,67552.6,53.3,48.0,19.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,36.9,1.6,0,0,0,13,0.2,-0.2,false,false,false,false
2022-09-02,PCB/載板,2313,華通,2,75.7,24.6,22.0,3.3,16194.8,67552.6,53.3,48.0,28.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,36.0,24.4,0,0,0,6,3.0,-11.8,false,false,false,false
2022-09-02,PCB/載板,3044,健鼎,2,75.7,24.6,22.0,3.3,16194.8,67552.6,53.3,48.0,19.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,38.4,2.0,0,0,0,12,0.2,-0.4,false,false,false,false
2022-09-02,PCB/載板,4958,臻鼎-KY,2,75.7,24.6,22.0,3.3,16194.8,67552.6,53.3,48.0,26.9,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,36.0,19.7,0,0,0,7,2.4,-1.3,false,false,false,false
2022-09-02,PCB/載板,2316,楠梓電,2,75.7,24.6,22.0,3.3,16194.8,67552.6,53.3,48.0,19.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,36.0,0.2,0,0,0,15,0.0,-0.0,false,false,false,false
2022-09-02,PCB/載板,2367,燿華,2,75.7,24.6,22.0,3.3,16194.8,67552.6,53.3,48.0,56.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,46.3,100.0,0,0,0,3,14.3,3.3,false,true,false,false
2022-09-02,PCB/載板,1815,富喬,2,75.7,24.6,22.0,3.3,16194.8,67552.6,53.3,48.0,20.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,36.0,2.7,0,0,0,11,0.3,-0.1,false,false,false,false
2022-09-02,PCB/載板,5439,高技,2,75.7,24.6,22.0,3.3,16194.8,67552.6,53.3,48.0,19.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,36.4,0.3,0,0,0,14,0.0,-0.0,false,false,false,false
2022-09-02,綠能/儲能,4931,新盛力,3,41.2,1.0,1.0,-0.0,678.9,2980.9,100.0,72.2,57.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,64.7,33.9,0,0,0,1,100.0,0.0,true,false,false,false
2022-09-02,CPO/矽光子,3163,波若威,4,36.2,2.3,2.9,-0.8,1509.5,8532.8,70.0,52.6,32.4,theme_leader,true,70.0,ok,2021-12-01,fundamental checks passed,49.8,21.3,1400,400,16.0,2,28.2,1.6,true,false,false,false
2022-09-02,CPO/矽光子,3363,上詮,4,36.2,2.3,2.9,-0.8,1509.5,8532.8,70.0,52.6,17.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,43.4,0.2,0,0,0,10,0.2,-0.2,false,false,false,false
