date,theme,symbol,name,theme_rank,theme_score,capital_share,capital_share_5d_avg,capital_share_5d_change,turnover_value,turnover_value_5d,strong_stock_ratio,theme_risk_heat,stock_score,bucket,fundamental_pass,fundamental_score,fundamental_data_status,fundamental_source_date,fundamental_reason,risk_heat,liquidity,foreign_5d,trust_5d,margin_change_5d,stock_turnover_rank_in_theme,stock_turnover_share_in_theme,stock_turnover_share_change_5d,theme_leader_flag,theme_second_line_flag,theme_laggard_rebound_flag,overheated_flag
2022-03-28,ASIC/IP,3443,創意,1,100.0,39.3,30.7,10.8,20320.9,92142.5,37.5,45.0,31.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,33.8,30.1,0,0,0,6,3.0,-5.3,false,false,false,false
2022-03-28,ASIC/IP,3661,世芯-KY,1,100.0,39.3,30.7,10.8,20320.9,92142.5,37.5,45.0,57.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,41.3,100.0,0,0,0,2,13.4,-4.0,false,false,false,false
2022-03-28,ASIC/IP,3035,智原,1,100.0,39.3,30.7,10.8,20320.9,92142.5,37.5,45.0,68.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,54.0,100.0,0,0,0,1,56.0,19.3,true,false,false,false
2022-03-28,ASIC/IP,6531,愛普*,1,100.0,39.3,30.7,10.8,20320.9,92142.5,37.5,45.0,27.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,33.8,20.6,0,0,0,7,2.0,-1.6,false,false,false,false
2022-03-28,ASIC/IP,3529,力旺,1,100.0,39.3,30.7,10.8,20320.9,92142.5,37.5,45.0,44.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,33.8,62.7,0,0,0,4,6.2,1.2,false,true,false,false
2022-03-28,ASIC/IP,5274,信驊,1,100.0,39.3,30.7,10.8,20320.9,92142.5,37.5,45.0,21.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,45.8,13.8,0,0,0,8,1.4,-0.7,false,false,false,false
2022-03-28,ASIC/IP,2454,聯發科,1,100.0,39.3,30.7,10.8,20320.9,92142.5,37.5,45.0,59.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,3,12.6,-9.8,false,false,false,false
2022-03-28,ASIC/IP,2379,瑞昱,1,100.0,39.3,30.7,10.8,20320.9,92142.5,37.5,45.0,41.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,33.8,55.7,0,0,0,5,5.5,0.8,false,true,false,false
2022-03-28,PCB/載板,3037,欣興,2,61.0,22.9,24.2,-1.7,11817.7,74364.0,20.0,45.0,68.5,theme_leader,true,70.0,ok,2021-12-01,fundamental checks passed,33.8,100.0,6200,3100,6.0,1,38.8,0.5,true,false,false,false
2022-03-28,PCB/載板,8046,南電,2,61.0,22.9,24.2,-1.7,11817.7,74364.0,20.0,45.0,37.6,watch,true,70.0,ok,2021-12-01,fundamental checks passed,33.8,43.2,3300,1800,8.0,5,7.3,-2.8,false,false,false,false
