symbol,name,coverage_status
1536,和大,covered
1590,亞德客-KY,covered
1815,富喬,covered
2049,上銀,covered
2231,為升,covered
2301,光寶科,covered
2308,台達電,covered
2313,華通,covered
2316,楠梓電,covered
2317,鴻海,covered
2337,旺宏,covered
2344,華邦電,covered
2356,英業達,covered
2357,華碩,covered
2359,所羅門,covered
2367,燿華,covered
2368,金像電,covered
2376,技嘉,covered
2379,瑞昱,covered
2382,廣達,covered
2383,台光電,covered
2408,南亞科,covered
2454,聯發科,covered
2457,飛宏,covered
2464,盟立,covered
2497,怡利電,covered
3006,晶豪科,covered
3015,全漢,covered
3035,智原,covered
3037,欣興,covered
3044,健鼎,covered
3081,聯亞,covered
3163,波若威,covered
3189,景碩,covered
3211,順達,covered
3231,緯創,covered
3234,光環,covered
3260,威剛,covered
3323,加百裕,covered
3363,上詮,covered
3443,創意,covered
3450,聯鈞,covered
3529,力旺,covered
3552,同致,covered
3661,世芯-KY,covered
3665,貿聯-KY,covered
4576,大銀微系統,covered
4908,前鼎,covered
4931,新盛力,covered
4958,臻鼎-KY,covered
4977,眾達-KY,covered
4979,華星光,covered
5274,信驊,covered
5439,高技,covered
6166,凌華,covered
6213,聯茂,covered
6274,台燿,covered
6279,胡連,covered
6412,群電,covered
6442,光聖,covered
6451,訊芯-KY,covered
6531,愛普*,covered
6669,緯穎,covered
6770,力積電,covered
8046,南電,covered
8088,品安,covered
8271,宇瞻,covered
8299,群聯,covered
8358,金居,covered
1301,台塑,missing_price_cache
1303,南亞,missing_price_cache
1304,台聚,missing_price_cache
1314,中石化,missing_price_cache
1326,台化,missing_price_cache
1504,東元,missing_price_cache
1513,中興電,missing_price_cache
1514,亞力,missing_price_cache
1519,華城,missing_price_cache
1605,華新,missing_price_cache
1609,大亞,missing_price_cache
1618,合機,missing_price_cache
1760,寶齡富錦,missing_price_cache
1795,美時,missing_price_cache
2208,台船,missing_price_cache
2327,國巨,missing_price_cache
2347,聯強,missing_price_cache
2375,凱美,missing_price_cache
2421,建準,missing_price_cache
2449,京元電子,missing_price_cache
2467,志聖,missing_price_cache
2472,立隆電,missing_price_cache
2492,華新科,missing_price_cache
2603,長榮,missing_price_cache
2605,新興,missing_price_cache
2606,裕民,missing_price_cache
2609,陽明,missing_price_cache
2610,華航,missing_price_cache
2615,萬海,missing_price_cache
2618,長榮航,missing_price_cache
2634,漢翔,missing_price_cache
2707,晶華,missing_price_cache
2723,美食-KY,missing_price_cache
2727,王品,missing_price_cache
2731,雄獅,missing_price_cache
2739,寒舍,missing_price_cache
2748,雲品,missing_price_cache
2753,八方雲集,missing_price_cache
2880,華南金,missing_price_cache
2881,富邦金,missing_price_cache
2882,國泰金,missing_price_cache
2884,玉山金,missing_price_cache
2885,元大金,missing_price_cache
2886,兆豐金,missing_price_cache
2891,中信金,missing_price_cache
2892,第一金,missing_price_cache
3010,華立,missing_price_cache
3017,奇鋐,missing_price_cache
3023,信邦,missing_price_cache
3026,禾伸堂,missing_price_cache
3036,文曄,missing_price_cache
3090,日電貿,missing_price_cache
3131,弘塑,missing_price_cache
3236,千如,missing_price_cache
3264,欣銓,missing_price_cache
3324,雙鴻,missing_price_cache
3338,泰碩,missing_price_cache
3357,臺慶科,missing_price_cache
3413,京鼎,missing_price_cache
3483,力致,missing_price_cache
3576,聯合再生,missing_price_cache
3583,辛耘,missing_price_cache
3624,光頡,missing_price_cache
3653,健策,missing_price_cache
3702,大聯大,missing_price_cache
3708,上緯投控,missing_price_cache
3711,日月光投控,missing_price_cache
4123,晟德,missing_price_cache
4162,智擎,missing_price_cache
4572,駐龍,missing_price_cache
4743,合一,missing_price_cache
4768,晶呈科技,missing_price_cache
4916,事欣科,missing_price_cache
5434,崇越,missing_price_cache
5876,上海商銀,missing_price_cache
6127,九豪,missing_price_cache
6147,頎邦,missing_price_cache
6173,信昌電,missing_price_cache
6187,萬潤,missing_price_cache
6223,旺矽,missing_price_cache
6230,尼得科超眾,missing_price_cache
6239,力成,missing_price_cache
6244,茂迪,missing_price_cache
6257,矽格,missing_price_cache
6443,元晶,missing_price_cache
6446,藥華藥,missing_price_cache
6505,台塑化,missing_price_cache
6510,精測,missing_price_cache
6806,森崴能源,missing_price_cache
8033,雷虎,missing_price_cache
8043,蜜望實,missing_price_cache
