ticker,name,market,signal_role,signal_decision_date,exact_execution_date,first_post_signal_ticker_trading_date_verified,open,high,low,close,volume,turnover_value,source_quality,source_route,source_url,raw_response_sha256,raw_cache_path,affected_event_platform_rows,leg_status,adjusted_or_substitute_used,future_data_violation_count
1101,台泥,TWSE,entry,2025-04-10,2025-04-11,True,30.2,30.5,29.55,30.0,32259026,967166839,official_exact_unadjusted_execution_ohlcv,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=1101&response=json,cb4d4bbdf90648210bd8726356cf154cfa68a19f917271023980b0c26682eae5,raw_audit_samples\TWSE_1101_2025-04.json,12,accepted,False,0
1102,亞泥,TWSE,exit,2025-07-04,2025-07-07,True,43.05,43.05,42.1,42.25,18579185,787517829,official_exact_unadjusted_execution_ohlcv,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250701&stockNo=1102&response=json,3665b2d0cf909ce69edbc3a1f96008dfe3ad5dcf84c73dec8beb318b4bce05b9,raw_audit_samples\TWSE_1102_2025-07.json,4,accepted,False,0
1319,東陽,TWSE,exit,2025-05-22,2025-05-23,True,132.0,135.0,131.5,134.5,2131275,285303760,official_exact_unadjusted_execution_ohlcv,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250501&stockNo=1319&response=json,130b6f4c6f2582fecc148ee0179605f10474b8661d8b5ed728429e1e4a1faae6,raw_audit_samples\TWSE_1319_2025-05.json,6,accepted,False,0
1808,潤隆,TWSE,entry,2024-08-12,2024-08-13,True,118.0,119.0,113.5,115.5,3662815,423979704,official_exact_unadjusted_execution_ohlcv,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240801&stockNo=1808&response=json,9576b3b882c2ce31d55f98b288f1bb808083dfe9158ae17dee7d59f6df455027,raw_audit_samples\TWSE_1808_2024-08.json,2,accepted,False,0
2014,中鴻,TWSE,exit,2024-01-17,2024-01-18,True,23.4,23.65,23.25,23.4,2717937,63625179,official_exact_unadjusted_execution_ohlcv,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240101&stockNo=2014&response=json,2dff0eebc88e845b65e8a781d1db46259c3cad06ce3dbef815096a2b60fac071,raw_audit_samples\TWSE_2014_2024-01.json,8,accepted,False,0
2540,愛山林,TWSE,entry,2025-04-10,2025-04-11,True,78.0,83.2,77.1,83.1,2117907,170812213,official_exact_unadjusted_execution_ohlcv,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=2540&response=json,4c9f21fd78726ca33a753cf24552d204c8ee36fc817092718a498f0355054ae9,raw_audit_samples\TWSE_2540_2025-04.json,10,accepted,False,0
4919,新唐,TWSE,entry,2023-10-05,2023-10-06,True,126.5,129.0,125.0,128.0,2591834,330433241,official_exact_unadjusted_execution_ohlcv,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20231001&stockNo=4919&response=json,6c64d8656a9cbbbd89533962e8617dbfc03aee718c964f33b053915d5b148fb1,raw_audit_samples\TWSE_4919_2023-10.json,2,accepted,False,0
6451,訊芯-KY,TWSE,entry,2025-02-07,2025-02-10,True,235.5,238.0,231.0,232.5,2831084,661126903,official_exact_unadjusted_execution_ohlcv,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250201&stockNo=6451&response=json,0c29f6219898a55d36a7c4e669e5637f7ca8b3b710932383edc04f4a8a8f45ab,raw_audit_samples\TWSE_6451_2025-02.json,2,accepted,False,0
6757,台灣虎航,TWSE,exit,2025-05-14,2025-05-15,True,94.7,96.2,94.2,95.9,9680589,924976904,official_exact_unadjusted_execution_ohlcv,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250501&stockNo=6757&response=json,74f426f1adf8f165e16d3a1ab39fad25502bbc7ec48a2674a0b19d617bd91b69,raw_audit_samples\TWSE_6757_2025-05.json,2,accepted,False,0
8089,康全電訊,TPEx,entry,2024-12-03,2024-12-04,True,100.0,106.0,100.0,103.0,3356000,348423000,official_exact_unadjusted_execution_ohlcv,TPEx_afterTrading_tradingStock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=8089&date=2024/12/01&response=json,9ad2d06c04f720c3a8275051bd9cebf19dc8bc4995ed3424631674668b21224b,raw_audit_samples\TPEx_8089_2024-12.json,2,accepted,False,0
9921,巨大,TWSE,entry,2025-04-10,2025-04-11,True,117.0,123.5,113.0,123.5,2013059,242066095,official_exact_unadjusted_execution_ohlcv,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=9921&response=json,144c579058d999c08bce9e64f2c439e4c368f292972a02c3a80441124450ad3c,raw_audit_samples\TWSE_9921_2025-04.json,12,accepted,False,0
