ticker,market,route_id,payload,matched_subject,announcement_date,announcement_time,detail_api,detail_payload,fact_date,period_text,timestamp_level,source_quality,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule
1101,TWSE,mops_api_t05st01_historical_material_information,"{""companyId"":""1101"",""year"":""115"",""month"":""5"",""firstDay"":""1"",""lastDay"":""31""}",公告本公司董事會通過115年第1季合併財務報告,115/05/13,19:18:38,t05st01_detail,"{""enterDate"":""1150513"",""serialNumber"":""1"",""companyId"":""1101"",""marketKind"":""sii""}",115/05/13,115/01/01~115/03/31,date_time,official_material_information_timestamp,False,False,False,False,False,False,True
6488,TPEx,mops_api_t05st01_historical_material_information,"{""companyId"":""6488"",""year"":""115"",""month"":""5"",""firstDay"":""1"",""lastDay"":""31""}",公告本公司董事會通過115年第一季合併財務報告,115/05/05,15:11:12,t05st01_detail,"{""enterDate"":""1150504"",""serialNumber"":""1"",""companyId"":""6488"",""marketKind"":""otc""}",115/05/05,115/01/01~115/03/31,date_time,official_material_information_timestamp,False,False,False,False,False,False,True
1101,TWSE,mops_api_t05st01_historical_material_information,"{""companyId"":""1101"",""year"":""115"",""month"":""all"",""firstDay"":"""",""lastDay"":""""}",公告本公司董事會通過114年第4季合併財務報告,115/03/11,19:21:45,t05st01_detail,"{""enterDate"":""1150311"",""serialNumber"":""2"",""companyId"":""1101"",""marketKind"":""sii""}",not probed in detail in this package,114年第4季 from subject,date_time,official_material_information_timestamp,False,False,False,False,False,False,True
